[13:21:02] Initializing...
[13:21:02] Join Server version: JS Compiled at: Nov  3 2023 14:53:54
[13:21:02] [SocketManager] Server started at port [55970]
[13:21:07] [SocketManager] WSAAccept() failed with error: 10061
[13:21:11] [SocketManager] WSAAccept() failed with error: 10061
[13:21:18] [SocketManager] WSAAccept() failed with error: 10061
[13:21:21] [SocketManager] WSAAccept() failed with error: 10061
[13:21:28] [SocketManager] WSAAccept() failed with error: 10061
[13:21:31] [SocketManager] WSAAccept() failed with error: 10061
[13:21:38] [SocketManager] WSAAccept() failed with error: 10061
[13:21:41] [SocketManager] WSAAccept() failed with error: 10061
[13:21:48] [SocketManager] WSAAccept() failed with error: 10061
[13:21:51] [SocketManager] WSAAccept() failed with error: 10061
[13:21:58] [SocketManager] WSAAccept() failed with error: 10061
[13:22:01] [SocketManager] WSAAccept() failed with error: 10061
[13:22:08] [SocketManager] WSAAccept() failed with error: 10061
[13:22:11] [SocketManager] WSAAccept() failed with error: 10061
[13:22:18] [SocketManager] WSAAccept() failed with error: 10061
[13:22:21] [SocketManager] WSAAccept() failed with error: 10061
[13:22:28] [SocketManager] WSAAccept() failed with error: 10061
[13:22:31] [SocketManager] WSAAccept() failed with error: 10061
[13:22:38] [SocketManager] WSAAccept() failed with error: 10061
[13:22:41] [SocketManager] WSAAccept() failed with error: 10061
[13:22:48] [SocketManager] WSAAccept() failed with error: 10061
[13:22:51] [SocketManager] WSAAccept() failed with error: 10061
[13:22:58] [SocketManager] WSAAccept() failed with error: 10061
[13:23:01] [SocketManager] WSAAccept() failed with error: 10061
[13:23:08] [SocketManager] WSAAccept() failed with error: 10061
