//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	135	135	1	508	2000	0	1642	1682	1652	1662	1672	1692	0	0	0	0	1642	1682	1652	1662	1672	1692	0	0	0	0	// Pack Scrolls (7 Day)
31	136	136	1	508	1500	0	1101	1630	1271	1601	1291	0	0	0	0	0	1101	1630	1271	1601	1291	0	0	0	0	0	// Pack Main (3 Days)
31	144	144	1	508	800	0	1191	1201	1221	1181	1231	0	0	0	0	0	1191	1201	1221	1181	1231	0	0	0	0	0	// Pack Elixir (3 Days)
31	183	183	1	508	2000	0	1052	1062	1102	1242	1862	0	0	0	0	0	1052	1062	1102	1242	1862	0	0	0	0	0	// Pack Level UP (7 Days)
31	206	206	1	508	1250	0	1681	1651	1641	1661	1671	1691	0	0	0	0	1681	1651	1641	1661	1671	1691	0	0	0	0	// Pack Scrolls (3 Days)
31	207	207	1	508	2250	0	1102	1632	1272	1602	1292	0	0	0	0	0	1102	1632	1272	1602	1292	0	0	0	0	0	// Pack Main (7 Days)
31	208	208	1	508	1350	0	1192	1202	1222	1182	1232	0	0	0	0	0	1192	1202	1222	1182	1232	0	0	0	0	0	// Pack Elixir (7 Days)
31	209	209	1	508	1250	0	1051	1061	1101	1241	1861	0	0	0	0	0	1051	1061	1101	1241	1861	0	0	0	0	0	// Pack Level UP (3 Days)
32	105	105	1	508	100	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Seal of Ascension
32	106	106	1	508	200	0	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// Seal of Wealth
32	161	161	1	508	300	0	1610	0	0	0	0	0	0	0	0	0	1610	0	0	0	0	0	0	0	0	0	// Master Seal of Ascension
32	162	162	1	508	400	0	1620	0	0	0	0	0	0	0	0	0	1620	0	0	0	0	0	0	0	0	0	// Master Seal of Wealth
33	100	100	1	508	100	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	// Master Seal of Ascension
33	107	107	1	508	200	0	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Master Seal of Wealth
33	108	108	1	508	100	0	1080	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	// Seal of Ascension
33	115	115	1	508	100	0	1150	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	// Talisman of Luck
33	195	195	1	508	200	0	1950	0	0	0	0	0	0	0	0	0	1950	0	0	0	0	0	0	0	0	0	// Seal of Wealth
34	110	110	1	508	200	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Demon
34	111	111	1	508	200	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Spirit of Guardian
34	201	201	1	508	100	0	2010	0	0	0	0	0	0	0	0	0	2010	0	0	0	0	0	0	0	0	0	// Guardian Angel
34	204	204	1	508	100	0	2040	0	0	0	0	0	0	0	0	0	2040	0	0	0	0	0	0	0	0	0	// Imp
36	152	152	1	508	200	0	1520	0	0	0	0	0	0	0	0	0	1520	0	0	0	0	0	0	0	0	0	// Scroll of Battle
36	160	160	1	508	200	0	1600	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	// Scroll of Strength
36	164	164	1	508	100	0	1640	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	// Scroll of Quickness
36	165	165	1	508	100	0	1650	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	// Scroll of Defense
36	166	166	1	508	100	0	1660	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	0	0	0	0	0	// Scroll of Wrath
36	167	167	1	508	100	0	1670	0	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	0	// Scroll of Wizardry
36	168	168	1	508	100	0	1680	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	0	0	0	// Scroll of Health
36	169	169	1	508	100	0	1690	0	0	0	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	0	0	// Scroll of Mana
37	112	112	1	508	250	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Blood Castle Ticket
37	113	113	1	508	250	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Devil Square Ticket
37	114	114	1	508	500	0	1140	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	// Kalima Ticket
37	156	156	1	508	1000	0	1560	0	0	0	0	0	0	0	0	0	1560	0	0	0	0	0	0	0	0	0	// Blood Castle Ticket x50
37	171	171	1	508	1000	0	1710	0	0	0	0	0	0	0	0	0	1710	0	0	0	0	0	0	0	0	0	// Devil Square Ticket x50
37	177	177	1	508	1250	0	1770	0	0	0	0	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	0	// Kalima Ticket x50
37	181	181	1	508	100	0	1810	0	0	0	0	0	0	0	0	0	1810	0	0	0	0	0	0	0	0	0	// Gaion's Order
37	182	182	1	508	100	0	1820	0	0	0	0	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	// Mirror of Dimensions
38	118	118	1	508	200	0	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Elixir of Strength
38	119	119	1	508	200	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Elixir of Agility
38	120	120	1	508	200	0	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Elixir of Health
38	121	121	1	508	200	0	1210	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	// Elixir of Control
38	122	122	1	508	200	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Elixir of Energy
38	178	178	1	508	1000	0	1780	0	0	0	0	0	0	0	0	0	1780	0	0	0	0	0	0	0	0	0	// Max AG Boost Aura
38	179	179	1	508	1000	0	1790	0	0	0	0	0	0	0	0	0	1790	0	0	0	0	0	0	0	0	0	// Max SD Boost Aura
39	123	123	1	508	200	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Amethyst Ring
