//=================================================================================================================
//-- Defini��es do Ranking
//=================================================================================================================
//  RankIndex ->  Index do Ranking
//  Name      ->  Titulo do Rank
//  ResetMin  ->  Minimo de Resets para determinado Rank
//  ResetMin  ->  Maximo de Resets para determinado Rank
//  Cash      ->  Premia��o em Cash ao antigir a patente
//  Gold      ->  Premia��o em Gold ao antigir a patente
//  PcPoint   ->  Premia��o em PcPoint ao antigir a patente
//=================================================================================================================
//-- Obs: Obrigatorio o Ultimo Rank o ResetMax ter o valor (-1)
//=================================================================================================================

//=================================================================================================================
//     #RankIndex          #Name            #ResetMin        #ResetMax       #Cash      #Gold     #PcPoint		 
//=================================================================================================================
0
            0            "Novice"             0                50               0          0           0		
            1            "Apprentice"           51               100              2          0           0	
            2            "Office Boy"         101              150              2          0           0	
            3            "Hunter"            151              200              2          0           0	
            4            "Assassin"           201              250              2          0           0	
            5            "Archer"           251              300              2          0           0	
            6            "Lancer"           301              350              2          0           0	
            7            "Knight"          351              400              2          0           0	
            8            "Soldier"            401              450              2          0           0	
            9            "Mage"               451              500              2          0           0	
            10           "Warrior"          501              550              2          0           0	
            11           "Gladiator"          551              600              2          0           0	
            12           "General"            601              650              2          0           0	
            13           "Batlle Master"      651              700              2          0           0	
            14           "Liberator"         701              750              2          0           0	
            15           "Lord"               751              800              2          0           0	
            16           "Pro"               801              850              2          0           0	
            17           "Demigod"           851              900              2          0           0	
            18           "Inmortal"            901              950              2          0           0	
            19           "Alpha"              951              1000             2          0           0	
            20           "Hero"              1001             1100             2          0           0	
            21           "Supreme"            1101             -1               2          0           0
end
