
//=================================================================================================================================================================================================================================================================================================================
//DW
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
1				000			1000		1000		7			//Poison
1				1001		*			1000		10			//Poison

384				000			1000		1000		7			//Poison Master
384				1001		*			1000		10			//Poison Master
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
2				000			1000		1000		7			//Meteorite
2				1001		*			1000		10			//Meteorite
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
3				000			1000		1000		7			//Lighting
3				1001		*			1000		10			//Lighting
379				000			1000		1000		7	    	//Lighting Master
379				1001		*			1000		10	    	//Lighting Master
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
4				000			1000		1000		7			//Fire Ball
4				1001		*			1000		10			//Fire Ball
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
7				000			1000		1000		7	    	//Ice
7				1001		*			1000		10	    	//Ice
389				000			1000		1000		7			//Ice Master
389				1001		*			1000		10			//Ice Master
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
11				000			1000		1000		7	    	//Power Wave
11				1001		*			1000		10	    	//Power Wave
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
//16				000			120			1000		5			//Soul Barrier
//16				121			*			1000		10			//Soul Barrier
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
17				000			1000		1000		7			//Energy Ball
17				1001		*			1000		10			//Energy Ball
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
45				000			250			1000		10			//Mana Glaive
45				251			*			1000		20			//Mana Glaive
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
10				000			1000		1000		10			//Hellfire
10				1001		*			1000		15			//Hellfire
388				000			1000		1000		10			//Hellfire Master 1
388				1001		*			1000		15			//Hellfire Master 1
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
12				000			500			1000		10			//Aqua Beam
12				501 		1000	    1000		15			//Aqua Beam
12				1001		*			1000		20			//Aqua Beam
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
14				000			500			1000		10			//Inferno
14				501 		1000	    1000		15			//Inferno
14				1001		*			1000		20			//Inferno
381				000			500			1000		10			//Inferno Master 1
381				501 		1000	    1000		15			//Inferno Master 1
381				1001		*			1000		20			//Inferno Master 1
486				000			500			1000		10			//Inferno Master 2
486				501 		1000	    1000		15			//Inferno Master 2
486				1001		*			1000		20			//Inferno Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
5				000			250			1000		15			//Flame
5				251			500		    1000		25			//Flame
5				501		    1000		1000		35			//Flame
5				3000		*		    1000		45			//Flame

378				000			250			1000		15			//Flame Master 1
378				251			500		    1000		25			//Flame Master 1
378				501		    1000		1000		35			//Flame Master 1
378				3000		*		    1000		45			//Flame Master 1

483				000			250			1000		15			//Flame Master 2
483				251			500		    1000		25			//Flame Master 2
483				501		    1000		1000		35			//Flame Master 2
483				3000		*		    1000		45			//Flame Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
8				000			250			1000		15			//Twister
8				251			500		    1000		25			//Twister
8				501		    1000		1000		35			//Twister
8				3000		*		    1000		45			//Twister
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
9				000			500			1000		15			//Evil Spirit
9				501			*		    1000		25			//Evil Spirit

385				000			500			1000	    15			//Evil Spirit Master 1
385				501			*		    1000		25			//Evil Spirit Master 1

487				000			500			1000	    15			//Evil Spirit Master 2
487				501			*		    1000		25			//Evil Spirit Master 2

//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
13				000			250			1000		15			//Cometfall
13				251			500		    1000		25			//Cometfall
13				501		    1000		1000		35			//Cometfall
13				3000		*		    1000		45			//Cometfall 

382				000			250			1000		15			//Cometfall Master
382				251			500		    1000		25			//Cometfall Master 
382				501		    1000		1000		35			//Cometfall Master 
382				3000		*		    1000		45			//Cometfall Master 
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
38				000			250			1000		15			//Decay
38				251			500		    1000		20			//Decay
38				501		    1000		1000		25			//Decay
38				1001		*		    1000		30			//Decay 

387				000			250			1000		15			//Decay Master
387				251			500		    1000		20			//Decay Master 
387				501		    1000		1000		25			//Decay Master 
387				1001		*		    1000		30			//Decay Master 
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
39				000			250			1000		15			//Ice Storm
39				251			500		    1000		20			//Ice Storm
39				501		    1000		1000		25			//Ice Storm
39				1001		*		    1000		30			//Ice Storm

391				000			250			1000		15			//Ice Storm Master 1
391				251			500		    1000		20			//Ice Storm Master 1
391				501		    1000		1000		25			//Ice Storm Master 1
391				1001		*		    1000		30			//Ice Storm Master 1

393				000			250			1000		15			//Ice Storm Master 2
393				251			500		    1000		20			//Ice Storm Master 2
393				501		    1000		1000		25			//Ice Storm Master 2
393				1001		*		    1000		30			//Ice Storm Master 2
//=================================================================================================================================================================================================================================================================================================================
//DK
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
22				000			105			1000		5			//Cyclone
22				106			*			1000		10			//Cyclone
326				000			105			1000		5			//Cyclone Master 1
326				106			*			1000		10			//Cyclone Master 1
479				000			105			1000		5			//Cyclone Master 2
479				106			*			1000		10			//Cyclone Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
41				000			250		    1000		20			//Twisting Slash
41				251			500		    1000		25			//Twisting Slash
41				1001		1500		1000		35			//Twisting Slash
41				1501		*	    	1000		45			//Twisting Slash

330				000			250		    1000		20			//Twisting Slash Master 1
330				251			500		    1000		25			//Twisting Slash Master 1
330				1001		1500		1000		35			//Twisting Slash Master 1
330				1501		*	    	1000		45			//Twisting Slash Master 1

332				000			250		    1000		20			//Twisting Slash Master 2
332				251			500		    1000		25			//Twisting Slash Master 2
332				1001		1500		1000		35			//Twisting Slash Master 2
332				1501		*	    	1000		45			//Twisting Slash Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
42				000			105			1000		2			//Rageful Blow
42				106			*			1000		3			//Rageful Blow
331				000			105			1000		2			//Rageful Blow Master
331				106			*			1000		3			//Rageful Blow
333				000			105			1000		2			//Rageful Blow Master 2
333				106			*			1000		3			//Rageful Blow
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
43				000			250			1000		7			//Death Stab
43				251			500		    1000		8			//Death Stab
43				501		    1000		1000		10			//Death Stab
43				1001		*   		1000		12			//Death Stab
336				000			250			1000		7			//Death Stab Master 1
336				251			500		    1000		8			//Death Stab Master 1
336				501		    1000		1000		10			//Death Stab Master 1
336				3001	    *			1000		12			//Death Stab Master 1
339				000			250			1000		7			//Death Stab Master 2
339				251			500		    1000		9			//Death Stab Master 2
339				501		    1000		1000		10			//Death Stab Master 2
339				3001	    *			1000		12			//Death Stab Master 2
342				000			250			1000		7			//Death Stab Master 3
342				251			500		    1000		9			//Death Stab Master 3
342				501		    1000		1000		10			//Death Stab Master 3
342				3001	    *			1000		12			//Death Stab Master 3
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
44				000			105			1000		5			//Moon Slash
