0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Silver Medal"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           10     6          8           0       0      1        0
8           15     6          8           0       0      1        0
9           15     6          8           0       0      1        0
10          15     6          8           0       0      1        0
11          15     6          8           0       0      1        0
7           9      6          8           0       0      1        0
8           9      6          8           0       0      1        0
9           9      6          8           0       0      1        0
10          9      6          8           0       0      1        0
11          9      6          8           0       0      1        0
7           7      6          8           0       0      1        0
8           7      6          8           0       0      1        0
9           7      6          8           0       0      1        0
10          7      6          8           0       0      1        0
11          7      6          8           0       0      1        0
7           25     6          8           0       0      1        0
8           25     6          8           0       0      1        0
9           25     6          8           0       0      1        0
10          25     6          8           0       0      1        0
11          25     6          8           0       0      1        0
7           13     6          8           0       0      1        0
8           13     6          8           0       0      1        0
9           13     6          8           0       0      1        0
10          13     6          8           0       0      1        0
11          13     6          8           0       0      1        0
7           40     6          8           0       0      1        0
8           40     6          8           0       0      1        0
9           40     6          8           0       0      1        0
10          40     6          8           0       0      1        0
11          40     6          8           0       0      1        0
5           15     6          8           0       0      1        0
5           14     6          8           0       0      1        0
0           1      6          8           0       0      1        0
0           0      6          8           0       0      1        0
2           8      6          8           0       0      1        0
0           10     6          8           0       0      1        0
0           15     6          8           0       0      1        0
0           12     6          8           0       0      1        0
1           7      6          8           0       0      1        0
2           9      6          8           0       0      1        0
4           3      6          8           0       0      1        0
0           13     6          8           0       0      1        0
0           11     6          8           0       0      1        0
4           4      6          8           0       0      1        0
4           10     6          8           0       0      1        0
4           11     6          8           0       0      1        0
6           1      6          8           0       0      1        0
6           2      6          8           0       0      1        0
6           4      6          8           0       0      1        0
6           5      6          8           0       0      1        0
0           10     6          8           1       0      1        0
8           15     6          8           1       0      1        0
9           15     6          8           1       0      1        0
10          15     6          8           1       0      1        0
11          15     6          8           1       0      1        0
7           9      6          8           1       0      1        0
8           9      6          8           1       0      1        0
9           9      6          8           1       0      1        0
10          9      6          8           1       0      1        0
11          9      6          8           1       0      1        0
7           7      6          8           1       0      1        0
8           7      6          8           1       0      1        0
9           7      6          8           1       0      1        0
10          7      6          8           1       0      1        0
11          7      6          8           1       0      1        0
7           25     6          8           1       0      1        0
8           25     6          8           1       0      1        0
9           25     6          8           1       0      1        0
10          25     6          8           1       0      1        0
11          25     6          8           1       0      1        0
7           13     6          8           1       0      1        0
8           13     6          8           1       0      1        0
9           13     6          8           1       0      1        0
10          13     6          8           1       0      1        0
11          13     6          8           1       0      1        0
7           40     6          8           1       0      1        0
8           40     6          8           1       0      1        0
9           40     6          8           1       0      1        0
10          40     6          8           1       0      1        0
11          40     6          8           1       0      1        0
5           15     6          8           1       0      1        0
5           14     6          8           1       0      1        0
0           1      6          8           1       0      1        0
0           0      6          8           1       0      1        0
2           8      6          8           1       0      1        0
0           10     6          8           1       0      1        0
0           15     6          8           1       0      1        0
0           12     6          8           1       0      1        0
1           7      6          8           1       0      1        0
2           9      6          8           1       0      1        0
4           3      6          8           1       0      1        0
0           13     6          8           1       0      1        0
0           11     6          8           1       0      1        0
4           4      6          8           1       0      1        0
4           10     6          8           1       0      1        0
4           11     6          8           1       0      1        0
6           1      6          8           1       0      1        0
6           2      6          8           1       0      1        0
6           4      6          8           1       0      1        0
6           5      6          8           1       0      1        0
0           10     6          8           0       1      1        0
8           15     6          8           0       1      1        0
9           15     6          8           0       1      1        0
10          15     6          8           0       1      1        0
11          15     6          8           0       1      1        0
7           9      6          8           0       1      1        0
8           9      6          8           0       1      1        0
9           9      6          8           0       1      1        0
10          9      6          8           0       1      1        0
11          9      6          8           0       1      1        0
7           7      6          8           0       1      1        0
8           7      6          8           0       1      1        0
9           7      6          8           0       1      1        0
10          7      6          8           0       1      1        0
11          7      6          8           0       1      1        0
7           25     6          8           0       1      1        0
8           25     6          8           0       1      1        0
9           25     6          8           0       1      1        0
10          25     6          8           0       1      1        0
11          25     6          8           0       1      1        0
7           13     6          8           0       1      1        0
8           13     6          8           0       1      1        0
9           13     6          8           0       1      1        0
10          13     6          8           0       1      1        0
11          13     6          8           0       1      1        0
7           40     6          8           0       1      1        0
8           40     6          8           0       1      1        0
9           40     6          8           0       1      1        0
10          40     6          8           0       1      1        0
11          40     6          8           0       1      1        0
5           15     6          8           0       1      1        0
5           14     6          8           0       1      1        0
0           1      6          8           0       1      1        0
0           0      6          8           0       1      1        0
2           8      6          8           0       1      1        0
0           10     6          8           0       1      1        0
0           15     6          8           0       1      1        0
0           12     6          8           0       1      1        0
1           7      6          8           0       1      1        0
2           9      6          8           0       1      1        0
4           3      6          8           0       1      1        0
0           13     6          8           0       1      1        0
0           11     6          8           0       1      1        0
4           4      6          8           0       1      1        0
4           10     6          8           0       1      1        0
4           11     6          8           0       1      1        0
6           1      6          8           0       1      1        0
6           2      6          8           0       1      1        0
6           4      6          8           0       1      1        0
6           5      6          8           0       1      1        0
0           10     6          8           1       1      0        0
8           15     6          8           1       1      0        0
9           15     6          8           1       1      0        0
10          15     6          8           1       1      0        0
11          15     6          8           1       1      0        0
7           9      6          8           1       1      0        0
8           9      6          8           1       1      0        0
9           9      6          8           1       1      0        0
10          9      6          8           1       1      0        0
11          9      6          8           1       1      0        0
7           7      6          8           1       1      0        0
8           7      6          8           1       1      0        0
9           7      6          8           1       1      0        0
10          7      6          8           1       1      0        0
11          7      6          8           1       1      0        0
7           25     6          8           1       1      0        0
8           25     6          8           1       1      0        0
9           25     6          8           1       1      0        0
10          25     6          8           1       1      0        0
11          25     6          8           1       1      0        0
7           13     6          8           1       1      0        0
8           13     6          8           1       1      0        0
9           13     6          8           1       1      0        0
10          13     6          8           1       1      0        0
11          13     6          8           1       1      0        0
7           40     6          8           1       1      0        0
8           40     6          8           1       1      0        0
9           40     6          8           1       1      0        0
10          40     6          8           1       1      0        0
11          40     6          8           1       1      0        0
5           15     6          8           1       1      0        0
5           14     6          8           1       1      0        0
0           1      6          8           1       1      0        0
0           0      6          8           1       1      0        0
2           8      6          8           1       1      0        0
0           10     6          8           1       1      0        0
0           15     6          8           1       1      0        0
0           12     6          8           1       1      0        0
1           7      6          8           1       1      0        0
2           9      6          8           1       1      0        0
4           3      6          8           1       1      0        0
0           13     6          8           1       1      0        0
0           11     6          8           1       1      0        0
4           4      6          8           1       1      0        0
4           10     6          8           1       1      0        0
4           11     6          8           1       1      0        0
6           1      6          8           1       1      0        0
6           2      6          8           1       1      0        0
6           4      6          8           1       1      0        0
6           5      6          8           1       1      0        0
0           10     6          8           1       1      1        0
8           15     6          8           1       1      1        0
9           15     6          8           1       1      1        0
10          15     6          8           1       1      1        0
11          15     6          8           1       1      1        0
7           9      6          8           1       1      1        0
8           9      6          8           1       1      1        0
9           9      6          8           1       1      1        0
10          9      6          8           1       1      1        0
11          9      6          8           1       1      1        0
7           7      6          8           1       1      1        0
8           7      6          8           1       1      1        0
9           7      6          8           1       1      1        0
10          7      6          8           1       1      1        0
11          7      6          8           1       1      1        0
7           25     6          8           1       1      1        0
8           25     6          8           1       1      1        0
9           25     6          8           1       1      1        0
10          25     6          8           1       1      1        0
11          25     6          8           1       1      1        0
7           13     6          8           1       1      1        0
8           13     6          8           1       1      1        0
9           13     6          8           1       1      1        0
10          13     6          8           1       1      1        0
11          13     6          8           1       1      1        0
7           40     6          8           1       1      1        0
8           40     6          8           1       1      1        0
9           40     6          8           1       1      1        0
10          40     6          8           1       1      1        0
11          40     6          8           1       1      1        0
5           15     6          8           1       1      1        0
5           14     6          8           1       1      1        0
0           1      6          8           1       1      1        0
0           0      6          8           1       1      1        0
2           8      6          8           1       1      1        0
0           10     6          8           1       1      1        0
0           15     6          8           1       1      1        0
0           12     6          8           1       1      1        0
1           7      6          8           1       1      1        0
2           9      6          8           1       1      1        0
4           3      6          8           1       1      1        0
0           13     6          8           1       1      1        0
0           11     6          8           1       1      1        0
4           4      6          8           1       1      1        0
4           10     6          8           1       1      1        0
4           11     6          8           1       1      1        0
6           1      6          8           1       1      1        0
6           2      6          8           1       1      1        0
6           4      6          8           1       1      1        0
6           5      6          8           1       1      1        0
end
