0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Gold Medal"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           10     9          11           0       0      1        0
8           15     9          11           0       0      1        0
9           15     9          11           0       0      1        0
10          15     9          11           0       0      1        0
11          15     9          11           0       0      1        0
7           9      9          11           0       0      1        0
8           9      9          11           0       0      1        0
9           9      9          11           0       0      1        0
10          9      9          11           0       0      1        0
11          9      9          11           0       0      1        0
7           7      9          11           0       0      1        0
8           7      9          11           0       0      1        0
9           7      9          11           0       0      1        0
10          7      9          11           0       0      1        0
11          7      9          11           0       0      1        0
7           25     9          11           0       0      1        0
8           25     9          11           0       0      1        0
9           25     9          11           0       0      1        0
10          25     9          11           0       0      1        0
11          25     9          11           0       0      1        0
7           13     9          11           0       0      1        0
8           13     9          11           0       0      1        0
9           13     9          11           0       0      1        0
10          13     9          11           0       0      1        0
11          13     9          11           0       0      1        0
7           40     9          11           0       0      1        0
8           40     9          11           0       0      1        0
9           40     9          11           0       0      1        0
10          40     9          11           0       0      1        0
11          40     9          11           0       0      1        0
5           15     9          11           0       0      1        0
5           14     9          11           0       0      1        0
0           1      9          11           0       0      1        0
0           0      9          11           0       0      1        0
2           8      9          11           0       0      1        0
0           10     9          11           0       0      1        0
0           15     9          11           0       0      1        0
0           12     9          11           0       0      1        0
1           7      9          11           0       0      1        0
2           9      9          11           0       0      1        0
4           3      9          11           0       0      1        0
0           13     9          11           0       0      1        0
0           11     9          11           0       0      1        0
4           4      9          11           0       0      1        0
4           10     9          11           0       0      1        0
4           11     9          11           0       0      1        0
6           1      9          11           0       0      1        0
6           2      9          11           0       0      1        0
6           4      9          11           0       0      1        0
6           5      9          11           0       0      1        0
0           10     9          11           1       0      1        0
8           15     9          11           1       0      1        0
9           15     9          11           1       0      1        0
10          15     9          11           1       0      1        0
11          15     9          11           1       0      1        0
7           9      9          11           1       0      1        0
8           9      9          11           1       0      1        0
9           9      9          11           1       0      1        0
10          9      9          11           1       0      1        0
11          9      9          11           1       0      1        0
7           7      9          11           1       0      1        0
8           7      9          11           1       0      1        0
9           7      9          11           1       0      1        0
10          7      9          11           1       0      1        0
11          7      9          11           1       0      1        0
7           25     9          11           1       0      1        0
8           25     9          11           1       0      1        0
9           25     9          11           1       0      1        0
10          25     9          11           1       0      1        0
11          25     9          11           1       0      1        0
7           13     9          11           1       0      1        0
8           13     9          11           1       0      1        0
9           13     9          11           1       0      1        0
10          13     9          11           1       0      1        0
11          13     9          11           1       0      1        0
7           40     9          11           1       0      1        0
8           40     9          11           1       0      1        0
9           40     9          11           1       0      1        0
10          40     9          11           1       0      1        0
11          40     9          11           1       0      1        0
5           15     9          11           1       0      1        0
5           14     9          11           1       0      1        0
0           1      9          11           1       0      1        0
0           0      9          11           1       0      1        0
2           8      9          11           1       0      1        0
0           10     9          11           1       0      1        0
0           15     9          11           1       0      1        0
0           12     9          11           1       0      1        0
1           7      9          11           1       0      1        0
2           9      9          11           1       0      1        0
4           3      9          11           1       0      1        0
0           13     9          11           1       0      1        0
0           11     9          11           1       0      1        0
4           4      9          11           1       0      1        0
4           10     9          11           1       0      1        0
4           11     9          11           1       0      1        0
6           1      9          11           1       0      1        0
6           2      9          11           1       0      1        0
6           4      9          11           1       0      1        0
6           5      9          11           1       0      1        0
0           10     9          11           0       1      1        0
8           15     9          11           0       1      1        0
9           15     9          11           0       1      1        0
10          15     9          11           0       1      1        0
11          15     9          11           0       1      1        0
7           9      9          11           0       1      1        0
8           9      9          11           0       1      1        0
9           9      9          11           0       1      1        0
10          9      9          11           0       1      1        0
11          9      9          11           0       1      1        0
7           7      9          11           0       1      1        0
8           7      9          11           0       1      1        0
9           7      9          11           0       1      1        0
10          7      9          11           0       1      1        0
11          7      9          11           0       1      1        0
7           25     9          11           0       1      1        0
8           25     9          11           0       1      1        0
9           25     9          11           0       1      1        0
10          25     9          11           0       1      1        0
11          25     9          11           0       1      1        0
7           13     9          11           0       1      1        0
8           13     9          11           0       1      1        0
9           13     9          11           0       1      1        0
10          13     9          11           0       1      1        0
11          13     9          11           0       1      1        0
7           40     9          11           0       1      1        0
8           40     9          11           0       1      1        0
9           40     9          11           0       1      1        0
10          40     9          11           0       1      1        0
11          40     9          11           0       1      1        0
5           15     9          11           0       1      1        0
5           14     9          11           0       1      1        0
0           1      9          11           0       1      1        0
0           0      9          11           0       1      1        0
2           8      9          11           0       1      1        0
0           10     9          11           0       1      1        0
0           15     9          11           0       1      1        0
0           12     9          11           0       1      1        0
1           7      9          11           0       1      1        0
2           9      9          11           0       1      1        0
4           3      9          11           0       1      1        0
0           13     9          11           0       1      1        0
0           11     9          11           0       1      1        0
4           4      9          11           0       1      1        0
4           10     9          11           0       1      1        0
4           11     9          11           0       1      1        0
6           1      9          11           0       1      1        0
6           2      9          11           0       1      1        0
6           4      9          11           0       1      1        0
6           5      9          11           0       1      1        0
0           10     9          11           1       1      0        0
8           15     9          11           1       1      0        0
9           15     9          11           1       1      0        0
10          15     9          11           1       1      0        0
11          15     9          11           1       1      0        0
7           9      9          11           1       1      0        0
8           9      9          11           1       1      0        0
9           9      9          11           1       1      0        0
10          9      9          11           1       1      0        0
11          9      9          11           1       1      0        0
7           7      9          11           1       1      0        0
8           7      9          11           1       1      0        0
9           7      9          11           1       1      0        0
10          7      9          11           1       1      0        0
11          7      9          11           1       1      0        0
7           25     9          11           1       1      0        0
8           25     9          11           1       1      0        0
9           25     9          11           1       1      0        0
10          25     9          11           1       1      0        0
11          25     9          11           1       1      0        0
7           13     9          11           1       1      0        0
8           13     9          11           1       1      0        0
9           13     9          11           1       1      0        0
10          13     9          11           1       1      0        0
11          13     9          11           1       1      0        0
7           40     9          11           1       1      0        0
8           40     9          11           1       1      0        0
9           40     9          11           1       1      0        0
10          40     9          11           1       1      0        0
11          40     9          11           1       1      0        0
5           15     9          11           1       1      0        0
5           14     9          11           1       1      0        0
0           1      9          11           1       1      0        0
0           0      9          11           1       1      0        0
2           8      9          11           1       1      0        0
0           10     9          11           1       1      0        0
0           15     9          11           1       1      0        0
0           12     9          11           1       1      0        0
1           7      9          11           1       1      0        0
2           9      9          11           1       1      0        0
4           3      9          11           1       1      0        0
0           13     9          11           1       1      0        0
0           11     9          11           1       1      0        0
4           4      9          11           1       1      0        0
4           10     9          11           1       1      0        0
4           11     9          11           1       1      0        0
6           1      9          11           1       1      0        0
6           2      9          11           1       1      0        0
6           4      9          11           1       1      0        0
6           5      9          11           1       1      0        0
0           10     9          11           1       1      1        0
8           15     9          11           1       1      1        0
9           15     9          11           1       1      1        0
10          15     9          11           1       1      1        0
11          15     9          11           1       1      1        0
7           9      9          11           1       1      1        0
8           9      9          11           1       1      1        0
9           9      9          11           1       1      1        0
10          9      9          11           1       1      1        0
11          9      9          11           1       1      1        0
7           7      9          11           1       1      1        0
8           7      9          11           1       1      1        0
9           7      9          11           1       1      1        0
10          7      9          11           1       1      1        0
11          7      9          11           1       1      1        0
7           25     9          11           1       1      1        0
8           25     9          11           1       1      1        0
9           25     9          11           1       1      1        0
10          25     9          11           1       1      1        0
11          25     9          11           1       1      1        0
7           13     9          11           1       1      1        0
8           13     9          11           1       1      1        0
9           13     9          11           1       1      1        0
10          13     9          11           1       1      1        0
11          13     9          11           1       1      1        0
7           40     9          11           1       1      1        0
8           40     9          11           1       1      1        0
9           40     9          11           1       1      1        0
10          40     9          11           1       1      1        0
11          40     9          11           1       1      1        0
5           15     9          11           1       1      1        0
5           14     9          11           1       1      1        0
0           1      9          11           1       1      1        0
0           0      9          11           1       1      1        0
2           8      9          11           1       1      1        0
