//=============================================================================================================================================================
//Index= Identificador del item (Para conocer este valor solo haz el calculo que es ---  512*Seccion+index | Ejem: 512*14+232 = 7400 (Este resultado es el Identificador del item ))
//Level= Nivel con el que caerá el item (De 0 a 15)
//Grade= Opción excelente fija que tendrá el item (De 1 a 63)
//Option0= Index de la opción del item (Relacionado al ItemDropRate.txt)
//Option1= Index de la opción del item (Relacionado al ItemDropRate.txt)
//Option2= Index de la opción del item (Relacionado al ItemDropRate.txt)
//Option3= Index de la opción del item (Relacionado al ItemDropRate.txt)
//Option4= Index de la opción del item (Relacionado al ItemDropRate.txt)
//Option5= Index de la opción del item (Relacionado al ItemDropRate.txt)
//Option6= Index de la opción del item (Relacionado al ItemDropRate.txt)
//Duration= Duración del item en el servidor. (0=Item permanente) | Presta atención a esto, esta variable esta programado en SEGUNDOS; si queremos que el item dure 1 dia, esto seria "86400".
//MapNumber= Número del mapa en donde caerá el item (-1= Cualquier mapa) (Para conocer el número de los mapas puedes ir a C:\MuServerKG\KG_Data\Warps\KG_GateSettings.xml)
//MonsterClass= Número del monster que al matarlo podrá dropear el item (-1= Cualquier monster) (Para conocer el número de los monsters C:\MuServerKG\KG_Data\Monster\Monster.txt)
//MonsterLevelMin= Nivel mínimo que debe tener el monster para dropear el item (-1= Cualquier nivel)
//MonsterLevelMax= Nivel máximo que debe tener el monster para dropear el item (-1= Cualquier nivel)
//DropRate= Probabilidade de dropear el item al matar un monster (x/1000000)(-1= Drop máximo)
//Comment= Este apartado es opcional y no modificará en nada la configuración, simplemente nos sirve para anotar el nombre del item para recordarlo
//=============================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
7233      0       0       *         *         *         *         *         *         *         0          8           63             *                 *                 -1	    //Death-beam Knight Flame" 	  
7234      0       0       *         *         *         *         *         *         *         0          33          309            *                 *                 -1	    //Hell-Miner Horn"         	  
7235      0       0       *         *         *         *         *         *         *         0          10          77             *                 *                 -1	    //Dark Phoenix Feather"    	  
6159      0       0       *         *         *         *         *         *         *         0          *           *              12                150               1000       //Jewel of Chaos
6176      0       0       *         *         *         *         *         *         *         0          *           *              12                49                0          //Box of Red Ribbon
6177      0       0       *         *         *         *         *         *         *         0          *           *              50                69                0          //Box of Green Ribbon
6178      0       0       *         *         *         *         *         *         *         0          *           *              70                97                0          //Box of Blue Ribbon
6214      0       0       *         *         *         *         *         *         *         0          *           *              58                76                1000       //Sphere (Mono)    
6215      0       0       *         *         *         *         *         *         *         0          *           *              77                101               1000       //Sphere (Di)
6216      0       0       *         *         *         *         *         *         *         0          *           *              102               150               1000       //Sphere (Tri)
6218	  0       0       *         *         *         *         *         *         *         0          56          *              *                 *         	      4000      //SPHERE Penta
6670      0       0       *         *         *         *         *         *         *         0          10          *              *	                *	              1000       //Loch's Feather  
6670      1       0       *         *         *         *         *         *         *         0          10          *              *	                *	              1000       //Monarch's Crest 
6672      1       0       *         *         *         *         *         *         *         0          *           *              1                 32                1000       //Scroll of Archangel 1
6672      2       0       *         *         *         *         *         *         *         0          *           *              33                45                1000       //Scroll of Archangel 2
6672      3       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Scroll of Archangel 3
6672      4       0       *         *         *         *         *         *         *         0          *           *              58                68                1000       //Scroll of Archangel 4
6672      5       0       *         *         *         *         *         *         *         0          *           *              69                76                1000       //Scroll of Archangel 5
6672      6       0       *         *         *         *         *         *         *         0          *           *              77                84                1000       //Scroll of Archangel 6
6672      7       0       *         *         *         *         *         *         *         0          *           *              85                101               1000       //Scroll of Archangel 7
6672      8       0       *         *         *         *         *         *         *         0          *           *              102               150               1000       //Scroll of Archangel 8
