// Config BenjaminTv || +51 924051713
//Bronze
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	0	3	0	4		//||	-			||	Mist's
8	0	3	3	0		//||	Hyperion's	||	-
9	0	3	3	4		//||	Hyperion's	||	Mist's
10	0	3	0	4		//||	-			||	Mist's
11	0	3	3	0		//||	Hyperion's	||	-
//=========================================================================
//Dragon
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	1	3	11	12		//||	Hyon's		||	Vicious's
8	1	3	0	12		//||	-			||	Vicious's
9	1	3	0	12		//||	-			||	Vicious's
10	1	3	11	0		//||	Hyon's		||	-
11	1	3	11	0		//||	Hyon's		||	-
//=========================================================================
//Pad
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	2	3	13	14		//||	Apollo's	||	Barnake's	
8	2	3	13	0 		//||	Apollo's	||	-	
9	2	3	13	14		//||	Apollo's	||	Barnake's
10	2	3	13	0 		//||	Apollo's	||	-	
11	2	3	0	14		//||	-			||	Barnake's	
//=========================================================================
//Legendary
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	3	3	19	20		//||	Anubis's	||	Enis's	
8	3	3	19	20		//||	Anubis's	||	Enis's	
9	3	3	0	20		//||	-			||	Enis's	
10	3	3	19	0 		//||	Anubis's	||	-	
11	3	3	0	20		//||	-			||	Enis's	
//=========================================================================
//Bone
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	4	3	0	16		//||	-			||	Sylion's
8	4	3	15	16		//||	Evis's		||	Sylion's
9	4	3	15	0		//||	Evis's		||	-
10	4	3	0	16		//||	-			||	Sylion's
11	4	3	15	16		//||	Evis's		||	Sylion's
//=========================================================================
//Leather
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	5	3	1	2		//||	Warrior's	||	Anonymous's	
8	5	3	1	0		//||	Warrior's	||	-	
9	5	3	1	2		//||	Warrior's	||	Anonymous's	
10	5	3	1	0		//||	Warrior's	||	-	
11	5	3	1	2		//||	Warrior's	||	Anonymous's	
//=========================================================================
//Scale
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	6	3	5	6		//||	Eplete's	||	Berserker's	
8	6	3	5	6		//||	Eplete's	||	Berserker's
9	6	3	5	6		//||	Eplete's	||	Berserker's	
10	6	3	0	6		//||	-			||	Berserker's
11	6	3	0	6		//||	-			||	Berserker's	
//=========================================================================
//Sphinx
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	7	3	17	0 		//||	Heras's		||	-	
8	7	3	17	18		//||	Heras's		||	Minet's	
9	7	3	17	18		//||	Heras's		||	Minet's	
10	7	3	17	0 		//||	Heras's		||	-	
11	7	3	17	18		//||	Heras's		||	Minet's	
//=========================================================================
//Brass
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	8	3	0	8		//||	-			||	Cloud's	
8	8	3	7	0		//||	Garuda's	||	-	
9	8	3	7	8		//||	Garuda's	||	Cloud's	
10	8	3	7	0		//||	Garuda's	||	-	
11	8	3	7	0		//||	Garuda's	||	-	
//=========================================================================
//Plate
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	9	3	0	10		//||	-			||	Rave's	
8	9	3	9	10		//||	Kantata's	||	Rave's	
9	9	3	0	10		//||	-			||	Rave's	
10	9	3	9	0 		//||	Kantata's	||	-	
11	9	3	9	0 		//||	Kantata's	||	-	
//=========================================================================
//Vine
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	10	3	21	22		//||	Ceto's		||	Drake's	
8	10	3	0	22		//||	-			||	Drake's	
9	10	3	21	22		//||	Ceto's		||	Drake's	
10	10	3	21	0 		//||	Ceto's		||	-	
11	10	3	21	22		//||	Ceto's		||	Drake's
//=========================================================================
//Silk
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	11	3	23	0 		//||	Gaia's		||	-
8	11	3	23	0 		//||	Gaia's		||	-
9	11	3	23	24		//||	Gaia's		||	Fase's
10	11	3	23	24		//||	Gaia's		||	Fase's
11	11	3	0	24		//||	-			||	Fase's	
//=========================================================================
//Wind
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	12	3	25	0 		//||	Odin's		||	-
8	12	3	25	0 		//||	Odin's		||	-
9	12	3	25	26		//||	Odin's		||	Elvian's
10	12	3	25	0 		//||	Odin's		||	-
11	12	3	25	26		//||	Odin's		||	Elvian's
//=========================================================================
//Spirit
//Sec ID Type Op1 Op2 	||||	Op1	(5)		||	Op2	(6)
//=========================================================================
7	13	3	0	28		//||	-			||	Karis's	
8	13	3	27	0		//||	Argo's		||	-	
9	13	3	27	28		//||	Argo's		||	Karis's	
10	13	3	27	0		//||	Argo's		||	-	
