//Index		Message
0 "Blood Castle将在%d分钟后关闭"
1 "Blood Castle已关闭"
2 "Blood Castle %d将在%d分钟后开始"
3 "Blood Castle已开始"
4 "所有怪物已被击败"
5 "所有首领怪物已被击败"
6 "Blood Castle已结束"
7 "您不够强大，无法进入Blood Castle"
8 "玩家%s掉落了天使武器"
9 "玩家%s获得了天使武器"
10 "玩家%s摧毁了城堡的门"
11 "玩家%s摧毁了雕像"
16 "Chaos Castle将在%d分钟后关闭"
17 "Chaos Castle已关闭"
18 "Chaos Castle %d将在%d分钟后开始"
19 "Chaos Castle已开始"
20 "Chaos Castle已结束"
32 "自由账号"
33 "VIP1账号"
34 "VIP2账号"
35 "VIP3账号"
36 " "
37 " "
38 " "
39 " "
40 " "
41 " "
42 " "
43 " "
44 " "
45 " "
46 " "
47 " "
48 " "
49 " "
50 " "
51 " "
52 " "
53 " "
54 " "
55 " "
56 " "
57 " "
58 " "
64 "您没有使用权限"
65 "您需要至少%d级才能使用此功能"
66 "您需要至少%d次转生才能使用此功能"
67 "您需要至少%d魔钻才能使用此功能"
68 "您需要等待%d秒才能使用此功能"
69 "[POST]: %s"
70 "您没有使用/add的权限"
71 "该命令仅限Dark Lord使用"
72 "您的点数不足以添加"
73 "您需要至少%d魔钻才能使用/add"
74 "您已添加%d点数，剩余%d点数可分配"
75 "您没有使用/pkclear的权限"
76 "您不是PK状态"
77 "您需要至少%d魔钻才能使用/pkclear"
78 "您已成功清除PK"
79 "您没有使用/money的权限"
80 "您输入了无效的数值进行添加"
81 "您没有使用/change的权限"
82 "您需要至少%d魔钻才能使用/change"
83 "您无法再进化"
84 "您已成功进化"
85 "您没有使用/ware的权限"
86 "您现在无法使用/ware"
87 "您输入了无效的宝箱进行交换"
88 "您已成功交换宝箱%d"
89 "您没有使用/reset的权限"
90 "您现在无法使用/reset"
91 "您需要至少%d级才能使用/reset"
92 "您需要至少%d魔钻才能使用/reset"
93 "您不能超过%d次转生"
94 "您不能在装备物品的情况下重置"
95 "您已成功转生，现在您有%d次转生"
96 "您没有使用/gmmove的权限"
97 "您输入了无效的/gmmove位置"
98 "您没有使用/gmpost的权限"
99 "您没有使用/track的权限"
100 "您输入了无效的/track目标"
101 "您没有使用/trace的权限"
102 "您输入了无效的/trace目标"
103 "您没有使用/disconnect的权限"
104 "您输入了无效的/disconnect目标"
105 "您没有使用/fireworks的权限"
106 "您没有使用/make的权限"
107 "您已成功创建物品"
108 "您没有使用/skin的权限"
109 "您输入了无效的/skin目标"
110 "您没有使用/setmoney的权限"
111 "您输入了无效的/setmoney目标"
112 "您输入了无效的/setmoney数值"
113 "您没有使用/notice的权限"
114 "自动加点：已开启（%d）"
115 "自动加点：已关闭"
116 "自动重置：已开启"
117 "自动重置：已关闭"
118 "您没有使用/mreset的权限"
119 "您现在无法使用/mreset"
120 "您需要至少%d级才能使用/mreset"
121 "您需要至少%d次转生才能使用/mreset"
122 "您需要至少%d魔钻才能使用/mreset"
123 "您不能超过%d次大师转生"
124 "您不能在装备物品的情况下重置大师"
125 "您的大师已成功重置，现在您有%d次大师转生"
126 "接收请求：已开启"
127 "接收请求：已关闭"
128 "接收请求：自动"
