//Index     Message
0           "Blood Castle will close in %d minute(s)"
1           "Blood Castle is closed"
2           "Blood Castle %d will start in %d minute(s)"
3           "Blood Castle has started"
4           "All monsters have been defeated"
5           "All boss monsters have been defeated"
6           "Blood Castle has ended"
7           "You are not strong enough to enter Blood Castle"
8           "Player %s dropped the Angel's weapon"
9           "Player %s picked up the Angel's weapon"
10          "Player %s destroyed the castle door"
11          "Player %s destroyed the statue"
16          "Chaos Castle will close in %d minute(s)"
17          "Chaos Castle is closed"
18          "Chaos Castle %d will start in %d minute(s)"
19          "Chaos Castle has started"
20          "Chaos Castle has ended"
32          "Free Account"
33          "VIP Account Bronze"
34          "VIP Account Silver"
35          "VIP Account Gold"
36          " "
37          " "
38          " "
39          " "
40          " "
41          " "
42          " "
43          " "
44          " "
45          " "
46          " "
47          " "
48          " "
49          " "
50          " "
51          " "
52          " "
53          " "
54          " "
55          " "
56          " "
57          " "
58          " "
64          "You do not have permission to use"
65          "You need to be at least level %d to use"
66          "You need to have at least %d resets to use"
67          "You need to have at least %d zen to use"
68          "You need to wait %d seconds to use"
69          "[POST]: %s"
70          "You do not have permission to use /add"
71          "Exclusive command for Dark Lord"
72          "You do not have enough points to add"
73          "You need to have at least %d zen to use /add"
74          "You added %d points, %d points left to be distributed"
75          "You do not have permission to use /pkclear"
76          "You are not PK"
77          "You need to have at least %d zen to use /pkclear"
78          "You have successfully cleared your PK"
79          "You do not have permission to use /money"
80          "You have entered an invalid value to add"
81          "You do not have permission to use /change"
82          "You need to have at least %d zen to use /change"
83          "You cannot evolve any further"
84          "You have successfully evolved"
85          "You do not have permission to use /ware"
86          "You cannot use /ware at the moment"
87          "You have entered an invalid barrel to change"
88          "You successfully changed to ware %d"
89          "You do not have permission to use /reset"
90          "You cannot use /reset at the moment"
91          "You need to be at least level %d to use /reset"
92          "You need to have at least %d zen to use /reset"
93          "You cannot have more than %d resets"
94          "You cannot reset with equipped items"
95          "You have successfully reset, and now you have %d resets"
96          "You do not have permission to use /gmmove"
97          "You have entered an invalid position for /gmmove"
98          "You do not have permission to use /gmpost"
99          "You do not have permission to use /track"
100         "You have entered an invalid target for /track"
101         "You do not have permission to use /trace"
102         "You have entered an invalid target for /trace"
103         "You do not have permission to use /disconnect"
104         "You have entered an invalid target for /disconnect"
105         "You do not have permission to use /fireworks"
