//Index		Message
0           "블러드 캐슬이 %d분 후에 종료됩니다"
1           "블러드 캐슬이 종료되었습니다"
2           "블러드 캐슬 %d가 %d분 후에 시작됩니다"
3           "블러드 캐슬이 시작되었습니다"
4           "모든 몬스터를 처치했습니다"
5           "모든 몬스터의 보스를 처치했습니다"
6           "블러드 캐슬이 종료되었습니다"
7           "블러드 캐슬에 입장할 충분한 힘이 없습니다"
8           "%s 플레이어가 천사의 무기를 버렸습니다"
9           "%s 플레이어가 천사의 무기를 획득했습니다"
10          "%s 플레이어가 성문을 파괴했습니다"
11          "%s 플레이어가 동상을 파괴했습니다"
16          "카오스 캐슬이 %d분 후에 종료됩니다"
17          "카오스 캐슬이 종료되었습니다"
18          "카오스 캐슬 %d가 %d분 후에 시작됩니다"
19          "카오스 캐슬이 시작되었습니다"
20          "카오스 캐슬이 종료되었습니다"
32          "무료 계정"
33          "VIP1 계정"
34          "VIP2 계정"
35          "VIP3 계정"
36          " "
37          " "
38          " "
39          " "
40          " "
41          " "
42          " "
43          " "
44          " "
45          " "
46          " "
47          " "
48          " "
49          " "
50          " "
51          " "
52          " "
53          " "
54          " "
55          " "
56          " "
57          " "
58          " "
64          "사용할 수 없습니다"
65          "최소한 %d 레벨이 되어야 합니다"
66          "최소한 %d 리셋이 필요합니다"
67          "최소한 %d 제니가 필요합니다"
68          "%d초 동안 기다려야 합니다"
69          "[POST]: %s"
70          "/add를 사용할 수 없습니다"
71          "다크로드만 사용할 수 있는 명령어입니다"
72          "추가할 포인트가 충분하지 않습니다"
73          "%d 제니가 필요합니다"
74          "%d 포인트를 추가하였습니다. %d 포인트를 분배해야 합니다"
75          "/pkclear를 사용할 수 없습니다"
76          "PK 상태가 아닙니다"
77          "%d 제니가 필요합니다"
78          "PK 상태를 정상화하였습니다"
79          "/money를 사용할 수 없습니다"
80          "유효하지 않은 값입니다"
81          "/change를 사용할 수 없습니다"
82          "%d 제니가 필요합니다"
83          "더이상 진화할 수 없습니다"
84          "성공적으로 진화했습니다"
85          "/ware를 사용할 수 없습니다"
86          "현재 사용할 수 없습니다"
87          "유효하지 않은 창고 번호를 입력하였습니다"
88          "%d번 창고로 교환하였습니다"
89          "/reset을 사용할 수 없습니다"
90          "현재 사용할 수 없습니다"
91          "최소한 %d 레벨이 되어야 합니다"
92          "%d 제니가 필요합니다"
93          "%d번을 초과하여 리셋할 수 없습니다"
94          "장착한 아이템을 가진 상태에서는 리셋할 수 없습니다"
95          "성공적으로 리셋하였으며 현재 %d 리셋했습니다"
96          "/gmmove를 사용할 수 없습니다"
97          "유효하지 않은 위치를 입력하였습니다"
98          "/gmpost를 사용할 수 없습니다"
99          "/track을 사용할 수 없습니다"
100         "유효하지 않은 대상을 입력하였습니다"
101         "/trace를 사용할 수 없습니다"
102         "유효하지 않은 대상을 입력하였습니다"
103         "/disconnect를 사용할 수 없습니다"
104         "유효하지 않은 대상을 입력하였습니다"
