//Index     Message
0           "O Blood Castle fechará em %d minuto(s)"
1           "O Blood Castle está fechado"
2           "O Blood Castle %d começará em %d minuto(s)"
3           "O Blood Castle começou"
4           "Todos os monstros foram derrotados"
5           "Todos os chefes dos monstros foram derrotados"
6           "O Blood Castle terminou"
7           "Você não é forte o suficiente para entrar no Blood Castle"
8           "O jogador %s largou a arma do Anjo"
9           "O jogador %s pegou a arma do Anjo"
10          "O jogador %s destruiu a porta do castelo"
11          "O jogador %s destruiu a estátua"
16          "O Chaos Castle fechará em %d minuto(s)"
17          "O Chaos Castle está fechado"
18          "O Chaos Castle %d começará em %d minuto(s)"
19          "O Chaos Castle começou"
20          "O Chaos Castle terminou"
32          "Conta Grátis"
33          "Conta VIP1"
34          "Conta VIP2"
35          "Conta VIP3"
36          " "
37          " "
38          " "
39          " "
40          " "
41          " "
42          " "
43          " "
44          " "
45          " "
46          " "
47          " "
48          " "
49          " "
50          " "
51          " "
52          " "
53          " "
54          " "
55          " "
56          " "
57          " "
58          " "
64          "Você não tem permissão para usar"
65          "Você precisa ser pelo menos nível %d para usar"
66          "Você precisa ter pelo menos %d resets para usar"
67          "Você precisa ter pelo menos %d zen para usar"
68          "Você precisa esperar %d segundos para usar"
69          "[POST]: %s"
70          "Você não tem permissão para usar /add"
71          "Comando exclusivo para Dark Lord"
72          "Você não tem pontos suficientes para adicionar"
73          "Você precisa ter pelo menos %d zen para usar /add"
74          "Você adicionou %d pontos, faltam %d pontos para distribuir"
75          "Você não tem permissão para usar /pkclear"
76          "Você não está em estado PK"
77          "Você precisa ter pelo menos %d zen para usar /pkclear"
78          "Você limpou com sucesso o seu estado PK"
79          "Você não tem permissão para usar /money"
80          "Você inseriu um valor inválido para adicionar"
81          "Você não tem permissão para usar /change"
82          "Você precisa ter pelo menos %d zen para usar /change"
83          "Você não pode evoluir mais"
84          "Você evoluiu com sucesso"
85          "Você não tem permissão para usar /ware"
86          "Você não pode usar /ware no momento"
87          "Você inseriu um baú inválido para trocar"
88          "Você trocou com sucesso para o baú %d"
89          "Você não tem permissão para usar /reset"
90          "Você não pode usar /reset no momento"
91          "Você precisa ser pelo menos nível %d para usar /reset"
92          "Você precisa ter pelo menos %d zen para usar /reset"
93          "Você não pode ter mais de %d resets"
94          "Você não pode resetar com itens equipados"
95          "Você resetou com sucesso e agora tem %d resets"
96          "Você não tem permissão para usar /gmmove"
97          "Você inseriu uma posição inválida para /gmmove"
98          "Você não tem permissão para usar /gmpost"
99          "Você não tem permissão para usar /track"
100         "Você inseriu um alvo inválido para /track"
101         "Você não tem permissão para usar /trace"
102         "Você inseriu um alvo inválido para /trace"
103         "Você não tem permissão para usar /disconnect"
104         "Você inseriu um alvo inválido para /disconnect"
105         "Você não tem permissão para usar /fireworks"
106         "Você não tem permissão para usar /make"
107         "Você criou o item com sucesso"
108         "Você não tem permissão para usar /skin"
109         "Você inseriu um alvo inválido para /skin"
110         "Você não tem permissão para usar /setmoney"
111         "Você inseriu um alvo inválido para /setmoney"
112         "Você inseriu um valor inválido para /setmoney"
113         "Você não tem permissão para usar /notice"
114         "Adição automática de pontos: Ativada (%d)"
115         "Adição automática de pontos: Desativada"
116         "Reset automático: Ativado"
