//Index     Message
0           "El Blood Castle se cerrará en %d minuto(s)"
1           "El castillo de sangre se cerró"
2           "El Blood Castle %d comenzará en %d minuto(s)"
3           "El Blood Castle comenzó"
4           "Todos los monstruos fueron derrotados"
5           "Todos los monstruos jefes fueron derrotados"
6           "El Blood Castle terminó"
7           "Usted no es lo suficientemente fuerte para entrar en el castillo de sangre"
8           "El jugador %s dejó caer el arma del ángel"
9           "El jugador %s tomó el arma del ángel"
10          "El jugador %s destruyó la puerta del castillo"
11          "El jugador %s destruyó la estatua"
16          "El Chaos Castle se cerrará en %d minuto(s)"
17          "El Chaos Castle se cerró"
18          "El Chaos Castle %d comenzará en %d minuto(s)"
19          "El Chaos Castle comenzó"
20          "El Chaos Castle terminó"
32          "Cuenta Free"
33          "Cuenta VIP1"
34          "Cuenta VIP2"
35          "Cuenta VIP3"
36          " "
37          " "
38          " "
39          " "
40          " "
41          " "
42          " "
43          " "
44          " "
45          " "
46          " "
47          " "
48          " "
49          " "
50          " "
51          " "
52          " "
53          " "
54          " "
55          " "
56          " "
57          " "
58          " "
64          "Usted no tiene permiso para utilizarlo"
65          "Usted necesita ser al menos nivel %d para utilizarlo"
66          "Usted necesita tener al menos %d resets para utilizarlo"
67          "Usted necesita tener al menos %d zen para utilizarlo"
68          "Usted necesita esperar %d segundos para utilizarlo"
69          "[POST]: %s"
70          "Usted no tiene permiso para utilizar el /add"
71          "Comando exclusivo de Dark Lord"
72          "No tiene suficientes puntos para agregar"
73          "Usted necesita tener al menos %d zen para utilizar el /add"
74          "Usted agregó %d puntos, restando %d puntos para ser distribuidos"
75          "Usted no tiene permiso para utilizar /pkclear"
76          "Usted no es PK"
77          "Usted necesita tener al menos %d zen para utilizar el /pkclear"
78          "Usted ha limpiado su PK con éxito"
79          "No tiene permiso para utilizar el /money"
80          "Ha introducido un valor no válido para agregarlo"
81          "Usted no tiene permiso para utilizar el /change"
82          "Usted necesita tener al menos %d zen para utilizar el /change"
83          "Usted no puede evolucionar más"
84          "Usted ha evolucionado con éxito"
85          "Usted no tiene permiso para utilizar el /ware"
86          "Usted no puede utilizar el /ware en este momento"
87          "Usted ha introducido un baúl inválido para cambiar"
88          "Usted cambió al ware %d con éxito"
89          "Usted no tiene permiso para utilizar el /reset"
90          "Usted no puede utilizar el /reset en este momento"
91          "Usted necesita ser al menos nivel %d para utilizar el /reset"
92          "Usted necesita tener al menos %d zen para utilizar el /reset"
93          "Usted no puede tener más de %d resets"
94          "Usted no puede resetear con elementos equipados"
95          "Usted hizo reset con éxito, y ahora tiene %d resets"
96          "Usted no tiene permiso para utilizar el /gmmove"
97          "Usted ha introducido una posición no válida para el /gmmove"
98          "Usted no tiene permiso para utilizar el /gmpost"
99          "Usted no tiene permiso para utilizar el /track"
100         "Usted ha introducido un blanco no válido para el /track"
101         "Usted no tiene permiso para utilizar el /trace"
102         "Usted ha introducido un blanco no válido para el /trace"
103         "No tiene permiso para utilizar el /disconnect"
104         "Usted ha introducido un blanco no válido para el /disconnect"
105         "No tiene permiso para utilizar /fireworks"
106         "No tiene permiso para utilizar el /make"
107         "Usted creó el artículo con éxito"
108         "Usted no tiene permiso para utilizar el /skin"
109         "Usted ha introducido un blanco no válido para el /skin"
110         "Usted no tiene permiso para utilizar el /setmoney"
111         "Usted ha introducido un blanco no válido para el /setmoney"
112         "Ha introducido un valor no válido para /setmoney"
113         "Usted no tiene permiso para utilizar el /notice"
114         "Adición automática de puntos: Activada (%d)"
115         "Adición automática de puntos: Desactivada"
116         "Reset automático: Activado"
117         "Reset automático: Desactivado"
118         "Usted no tiene permiso para utilizar el /mreset"
119         "Usted no puede utilizar el /mreset en este momento"
120         "Usted necesita tener al menos %d niveles para utilizar el /mreset"
121         "Usted necesita tener al menos %d resets para utilizar el /mreset"
122         "Usted necesita tener al menos %d zen para utilizar el /mreset"
123         "Usted no puede tener más de %d master resets"
124         "Usted no puede reiniciar el master con elementos equipados"
125         "Usted maestro se ha restaurado con éxito, y ahora tiene %d master resets"
126         "Recibir las solicitudes: Encendido"
127         "Recibimiento de solicitudes: Desactivado"
128         "Recibimiento de solicitudes: Automático"
129         "Solo se puede restear %d veces al día"
130         "Solo se puede restear %d veces a la semana"
131         "Solo se puede restear %d veces al mes"
132         "Solo se puede master reset %d veces al día"
133         "Solo se puede master reset %d veces a la semana"
134         "Solo se puede master reset %d veces al mes"
135         "No tiene permiso para utilizar el /hide"
144         "Devil Square se cerrará en %d minuto(s)"
145         "Devil Square cerró"
146         "La Devil Square %d comenzará en %d minuto(s)"
147         "La Devil Square comenzó"
148         "La Devil Square terminó"
149         "Usted no es lo suficientemente fuerte para entrar en Devil Square"
160         "El jugador objetivo no está conectado"
161         "Usted no puede duelar en este momento"
162         "El jugador objetivo rechazó su petición de duelo automáticamente"
163         "Usted ya ha solicitado o ha sido pedido para duelar"
164         "El jugador objetivo ya ha solicitado o se le ha pedido que duelo"
165         "Usted no puede duelar estando en Guild War"
166         "El jugador objetivo no puede duelar en Guild War"
167         "Usted no puede duelar en este mapa"
168         "Usted no puede duelar durante el castillo Siege"
169         "El nombre del jugador objetivo no es válido"
170         "Usted no puede duelar con la autodefensa"
171         "El jugador objetivo no puede duelo con Defensa Automática"
172         "El jugador objetivo rechazó su petición de duelo"
173         "Todas las arenas están llenas en este momento"
174         "¡El duelo entre %s y %s comenzó!"
175         "¡El jugador %s venció a %s en el duelo!"
176         "El Illusion Temple se cerrará en %d minuto(s)"
177         "El Illusion Temple cerró"
178         "El Illusion Temple %d comenzará en %d minuto(s)"
179         "El Illusion Temple comenzó"
180         "El Illusion Temple terminó"
181         "Usted no es lo suficientemente fuerte para entrar en el Temple de Illusion"
182         "Usted no tiene el elemento necesario para entrar en el Illusion Temple"
183         "El jugador %s dejó caer el artefacto"
184         "El jugador %s tomó el artefacto"
192         "¡La invasión del Skeleton King comenzó!"
193         "¡La invasión del Red Dragon comenzó!"
194         "¡La invasión de Dorados comenzó!"
195         "¡La invasión del White Wizard comenzó!"
196         "¡La invasión de Año Nuevo comenzó!"
197         "¡La invasión de conejos comenzó!"
198         "¡La invasión de verano comenzó!"
199         "¡La invasión de Navidad comenzó!"
200         "¡La invasión de Medusa comenzó!"
202			"¡El jugador %s derrotó al Skeleton King!"
203			"¡El jugador %s derrotó al Red Dragon!"
204			"¡El jugador %s derrotó el Golden Great Dragon!"
205			"¡El jugador %s derrotó al White Wizard!"
206			"¡El jugador %s derrotó al Cursed Santa!"
207			"¡El jugador %s derrotó a Medusa!"
208			"¡El Moss Merchant apareció!"
209			"¡El Moss Merchant se fue!"
210			"¡La invasión de invocación de demonios comenzó!"
211			"¡La invasión del evento de los huevos comenzó!"
224			"Necesitas ser al menos nivel %d para mover"
225			"Necesitas tener al menos %d zen para moverte"
226			"No puedes mover en el momento"
227			"Los asesinos no pueden moverse"
228			"No tienes el equipo correcto para moverte"
229			"Sólo miembros de una de las familias de los gens pueden moverse"
230			"Necesitas ser el máximo nivel %d para mover"
231			"Necesitas tener al menos %d resets para mover"
232			"Necesitas tener un máximo de resets para mover"
240			"El Senior no está activo en el momento"
241			"El Senior no funciona durante el Castle Siege"
242			"Necesitas estar en el gremio del castillo para utilizar el Senior"
243			"Necesitas ser el dueño del gremio para utilizar el Senior"
244			"El Guardsman no funciona durante el Castle Siege"
245			"Ya estás en un gremio"
246			"No tienes suficiente nivel para crear un gremio"
247			"La tienda está vacía"
248			"Nivel de cuenta: Free"
249			"Nivel de cuenta: VIP1 (%s)"
250			"Nivel de la cuenta: VIP2 (%s)"
251			"Nivel de cuenta: VIP3 (%s)"
256			"Bienvenido %s"
257			"Necesitas ser al menos nivel 40 para usar el anillo"
258			"Necesitas ser al menos nivel 80 para usar el anillo"
259			"No puedes moverte a este mapa en este momento"
260			"No puedes recoger este artículo en el momento"
261			"No puedes salir del juego con el comercio abierto"
262			"No puedes salir del juego con el Baúl abierto"
263			"No puedes salir del juego con el Chaos Machine abierto"
264			"No puedes salir del juego con el Trainer abierto"
