//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle   CustomAttack     NonCustomAttack  PkDropItem  LevelUp  LevelUpMaster  OffHelpe    AntiAfk    Terrain   Comment
0         *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Lorencia.att"     "Lorencia"
1         *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Dungeon.att"    "Dungeon"
2         *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Devias.att"    "Devias"
3         *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Noria.att"    "Noria"
4         *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Losttower.att"    "Lost Tower"
6         *       10          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Arena.att"   "Arena"
7         *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Atlans.att"    "Atlans"
8         *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Tarkan.att"    "Tarkan"
9         *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "DevilSquare.att"    "Devil Square 1"
10        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Icarus.att"    "Icarus"
11        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "BloodCastle.att"    "Blood Castle 1"
12        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "BloodCastle.att"    "Blood Castle 2"
13        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "BloodCastle.att"    "Blood Castle 3"
14        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "BloodCastle.att"    "Blood Castle 4"
15        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "BloodCastle.att"    "Blood Castle 5"
16        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "BloodCastle.att"    "Blood Castle 6"
17        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "BloodCastle.att"    "Blood Castle 7"
18        *       10          100              100            1000              0                 0                0              0            1                   1                0           1           1            1        1      "ChaosCastle.att"    "Chaos Castle 1"
19        *       10          100              100            1000              0                 0                0              0            1                   1                0           1           1            1        1      "ChaosCastle.att"    "Chaos Castle 2"
20        *       10          100              100            1000              0                 0                0              0            1                   1                0           1           1            1        1      "ChaosCastle.att"    "Chaos Castle 3"
21        *       10          100              100            1000              0                 0                0              0            1                   1                0           1           1            1        1      "ChaosCastle.att"    "Chaos Castle 4"
22        *       10          100              100            1000              0                 0                0              0            1                   1                0           1           1            1        1      "ChaosCastle.att"    "Chaos Castle 5"
23        *       10          100              100            1000              0                 0                0              0            1                   1                0           1           1            1        1      "ChaosCastle.att"    "Chaos Castle 6"
24        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kalima.att"    "Kalima 1"
25        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kalima.att"    "Kalima 2"
26        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kalima.att"    "Kalima 3"
27        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kalima.att"    "Kalima 4"
28        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kalima.att"   "Kalima 5"
29        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kalima.att"   "Kalima 6"
30        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "ValleyOfLoren.att"    "Castle Siege"
31        *       12          100              100            1000              500000            0                1              0            1                   0                0           1           1            1        1      "LandOfTrial.att"    "Land of Trials"
32        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "DevilSquare.att"    "Devil Square 2"
33        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Aida.att"    "Aida"
34        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Crywolf.att"    "Crywolf"
36        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kalima.att"    "Kalima 7"
37        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kanturu.att"    "Kanturu 1"
38        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "KanturuRemain.att"     "Kanturu 2"
39        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Kanturu.att"     "Kanturu 3"
40        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "Silent.att"    "Silent _ 41"
41        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "BalgassBarracks.att"    "Barracks"
42        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "BalgassRefuge.att"    "Refuge"
45        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "IllusionTemple.att"    "Illusion Temple 1"
46        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "IllusionTemple.att"    "Illusion Temple 2"
47        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "IllusionTemple.att"    "Illusion Temple 3"
48        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "IllusionTemple.att"    "Illusion Temple 4"
49        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "IllusionTemple.att"    "Illusion Temple 5"
50        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "IllusionTemple.att"    "Illusion Temple 6"
51        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Elbeland.att"    "Elbeland"
52        *       10          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "BloodCastle.att"    "Blood Castle 8"
53        *       10          100              100            1000              0                 0                0              0            1                   1                0           1           1            1        1      "ChaosCastle.att"    "Chaos Castle 7"
