//######################################################################################################################
//#MonsterSetBase: Atlans
//######################################################################################################################
//#Section: #0(Npc) #1(Spot) #2(Monster Individual) #3(Invasion) #4(Events) 5#(Kanturu Monster)
//######################################################################################################################

0
//######################################################################################################################
//#Monster    #MapNumber    #Range     #PositionX     #PositionY   #Direction    #Comment
//######################################################################################################################
end

1
//######################################################################################################################
//#Monster    #MapNumber    #Range      #BeginPosX     #BeginPosY     #EndPosX    #EndPosY      #Direction     #Quantity
//######################################################################################################################
47	7	3	91	63	91	63	-1	5	//Valkyrie
47	7	3	111	42	111	42	-1	5	//Valkyrie
47	7	3	69	88	69	88	-1	5	//Valkyrie
46	7	3	83	31	83	31	-1	5	//Vepar
47	7	3	47	95	47	95	-1	5	//Valkyrie
47	7	3	104	15	104	15	-1	5	//Valkyrie
48	7	3	241	12	241	12	-1	5	//Lizard King
48	7	3	243	52	243	52	-1	5	//Lizard King
48	7	3	188	19	188	19	-1	5	//Lizard King
47	7	3	106	12	106	12	-1	5	//Valkyrie
48	7	3	153	14	153	14	-1	5	//Lizard King
45	7	3	22	51	22	51	-1	5	//Bahamut
45	7	3	37	53	37	53	-1	5	//Bahamut
45	7	3	20	37	20	37	-1	5	//Bahamut
45	7	3	31	45	31	45	-1	5	//Bahamut
45	7	3	38	33	38	33	-1	5	//Bahamut
46	7	3	66	59	66	59	-1	5	//Vepar
46	7	3	48	39	48	39	-1	5	//Vepar
46	7	3	55	27	55	27	-1	5	//Vepar
46	7	3	63	12	63	12	-1	5	//Vepar
46	7	3	89	35	89	35	-1	5	//Vepar
45	7	3	71	20	71	20	-1	5	//Bahamut
45	7	3	50	21	50	21	-1	5	//Bahamut
45	7	3	50	10	50	10	-1	5	//Bahamut
52	7	3	60	185	60	185	-1	5	//Silver Valkyrie
52	7	3	49	157	49	157	-1	5	//Silver Valkyrie
52	7	3	85	156	85	156	-1	5	//Silver Valkyrie
52	7	3	115	90	115	90	-1	5	//Silver Valkyrie
52	7	3	76	137	76	137	-1	5	//Silver Valkyrie
52	7	3	109	138	109	138	-1	5	//Silver Valkyrie
52	7	3	124	146	124	146	-1	5	//Silver Valkyrie
52	7	3	198	103	198	103	-1	5	//Silver Valkyrie
52	7	3	146	112	146	112	-1	5	//Silver Valkyrie
52	7	3	73	168	73	168	-1	5	//Silver Valkyrie
52	7	3	87	188	87	188	-1	5	//Silver Valkyrie
49	7	3	38	238	38	238	-1	5	//Hydra
51	7	3	216	92	216	92	-1	5	//Great Bahamut
51	7	3	234	38	234	38	-1	5	//Great Bahamut
51	7	3	212	65	212	65	-1	5	//Great Bahamut
49	7	3	47	216	47	216	-1	5	//Hydra
49	7	3	25	231	25	231	-1	5	//Hydra
49	7	3	32	211	32	211	-1	5	//Hydra
51	7	3	231	79	231	79	-1	5	//Great Bahamut
52	7	3	184	55	184	55	-1	5	//Silver Valkyrie
52	7	3	139	66	139	66	-1	5	//Silver Valkyrie
51	7	3	237	127	237	127	-1	5	//Great Bahamut
51	7	3	238	108	238	108	-1	5	//Great Bahamut
51	7	3	218	131	218	131	-1	5	//Great Bahamut
end

2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment          
048            07             30         236            177            -1             //Lizard King
051            07             30         212            096            -1             //Great Bahamut
045            07             30         021            041            -1             //Bahamut
045            07             30         023            033            -1             //Bahamut
045            07             30         031            031            -1             //Bahamut
045            07             30         039            023            -1             //Bahamut
045            07             30         041            011            -1             //Bahamut
045            07             30         021            048            -1             //Bahamut
045            07             30         047            041            -1             //Bahamut
045            07             30         039            063            -1             //Bahamut
045            07             30         072            042            -1             //Bahamut
045            07             30         023            056            -1             //Bahamut
045            07             30         023            064            -1             //Bahamut
045            07             30         035            070            -1             //Bahamut
045            07             30         029            075            -1             //Bahamut
045            07             30         062            021            -1             //Bahamut
045            07             30         078            019            -1             //Bahamut
045            07             30         067            036            -1             //Bahamut
045            07             30         024            086            -1             //Bahamut
045            07             30         048            057            -1             //Bahamut
045            07             30         045            070            -1             //Bahamut
045            07             30         019            125            -1             //Bahamut
045            07             30         049            008            -1             //Bahamut
045            07             30         046            020            -1             //Bahamut
045            07             30         039            035            -1             //Bahamut
045            07             30         037            050            -1             //Bahamut
045            07             30         020            075            -1             //Bahamut
045            07             30         063            044            -1             //Bahamut
045            07             30         068            052            -1             //Bahamut
045            07             30         049            064            -1             //Bahamut
045            07             30         029            052            -1             //Bahamut
046            07             30         046            021            -1             //Vepar
046            07             30         048            009            -1             //Vepar
046            07             30         050            065            -1             //Vepar
046            07             30         051            070            -1             //Vepar
046            07             30         080            033            -1             //Vepar
046            07             30         062            017            -1             //Vepar
046            07             30         061            011            -1             //Vepar
046            07             30         069            019            -1             //Vepar
046            07             30         075            015            -1             //Vepar
046            07             30         083            015            -1             //Vepar
046            07             30         084            021            -1             //Vepar
046            07             30         067            027            -1             //Vepar
046            07             30         059            034            -1             //Vepar
046            07             30         086            037            -1             //Vepar
046            07             30         078            044            -1             //Vepar
046            07             30         071            052            -1             //Vepar
046            07             30         065            059            -1             //Vepar
046            07             30         065            051            -1             //Vepar
046            07             30         055            044            -1             //Vepar
046            07             30         040            048            -1             //Vepar
046            07             30         031            053            -1             //Vepar
046            07             30         024            090            -1             //Vepar
046            07             30         021            100            -1             //Vepar
046            07             30         025            105            -1             //Vepar
046            07             30         030            110            -1             //Vepar
046            07             30         021            118            -1             //Vepar
046            07             30         038            117            -1             //Vepar
046            07             30         141            011            -1             //Vepar
046            07             30         127            017            -1             //Vepar
046            07             30         114            026            -1             //Vepar
046            07             30         107            018            -1             //Vepar
046            07             30         104            013            -1             //Vepar
046            07             30         115            012            -1             //Vepar
046            07             30         089            062            -1             //Vepar
046            07             30         075            076            -1             //Vepar
046            07             30         069            087            -1             //Vepar
046            07             30         050            093            -1             //Vepar
046            07             30         023            072            -1             //Vepar
046            07             30         078            023            -1             //Vepar
046            07             30         070            038            -1             //Vepar
046            07             30         055            025            -1             //Vepar
046            07             30         030            122            -1             //Vepar
046            07             30         017            126            -1             //Vepar
046            07             30         122            029            -1             //Vepar
046            07             30         108            040            -1             //Vepar
048            07             30         066            222            -1             //Lizard King
048            07             30         063            218            -1             //Lizard King
048            07             30         057            225            -1             //Lizard King
048            07             30         171            162            -1             //Lizard King
048            07             30         175            169            -1             //Lizard King
