//######################################################################################################################
//#MonsterSetBase: Tarkan
//######################################################################################################################
//#Section: #0(Npc) #1(Spot) #2(Monster Individual) #3(Invasion) #4(Events) 5#(Kanturu Monster)
//######################################################################################################################

0
//######################################################################################################################
//#Monster    #MapNumber    #Range     #PositionX     #PositionY   #Direction    #Comment
//######################################################################################################################
end

1
//######################################################################################################################
//#Monster    #MapNumber    #Range      #BeginPosX     #BeginPosY     #EndPosX    #EndPosY      #Direction     #Quantity
//######################################################################################################################
58				8				4			40			178				40			178				1				5			//Tantallos
58				8				4			26			168				26			168				1				5			//Tantallos
58				8				4			31			135				31			135				1				5			//Tantallos
58				8				4			81			198				81			198				1				5			//Tantallos
58				8				4			127			155				127			155				1				5			//Tantallos
58				8				4			128			193				128			193				1				5			//Tantallos
58				8				4			108			212				108			212				1				5			//Tantallos
58				8				4			59			131				59			131				1				5			//Tantallos
60				8				4			155			155				155			155				1				5			//Bloody Wolf
60				8				4			150			139				150			139				1				5			//Bloody Wolf
60				8				4			152			122				152			122				1				5			//Bloody Wolf
58				8				4			167			143				167			143				1				5			//Tantallos
58				8				4			80			137				80			137				1				5			//Tantallos
58				8				4			98			152				98			152				1				5			//Tantallos
58				8				4			174			130				174			130				1				5			//Tantallos
59				8				4			16			243				16			243				1				5			//Zaikan
59				8				4			7			235				7			235				1				5			//Zaikan
59				8				4			17			221				17			221				1				5			//Zaikan
59				8				4			33			249				33			249				1				5			//Zaikan
59				8				4			48			213				48			213				1				5			//Zaikan
59				8				4			50			244				50			244				1				5			//Zaikan
59				8				4			35			233				35			233				1				5			//Zaikan
61				8				4			36			138				36			138				1				5			//Beam Knight
61				8				4			123			197				123			197				1				5			//Beam Knight
61				8				4			124			157				124			157				1				5			//Beam Knight
61				8				4			109			169				109			169				1				5			//Beam Knight
61				8				4			98			193				99			194				1				5			//Beam Knight
61				8				4			58			128				58			128				1				5			//Beam Knight
61				8				4			83			128				83			128				1				5			//Beam Knight
61				8				4			114			220				114			220				1				5			//Beam Knight
60				8				4			168			110				168			110				1				5			//Bloody Wolf
59				8				4			82			50				82			50				1				5			//Zaikan
59				8				4			106			40				106			40				1				5			//Zaikan
57				8				4			138			24				138			24				1				5			//Iron Wheel
59				8				4			97			57				97			57				1				5			//Zaikan
60				8				4			78			92				78			92				1				5			//Bloody Wolf
60				8				4			82			78				82			78				1				5			//Bloody Wolf
60				8				4			104			95				104			95				1				5			//Bloody Wolf
57				8				4			124			40				124			40				1				5			//Iron Wheel
62				8				4			143			56				143			56				1				5			//Mutant
60				8				4			151			61				151			61				1				5			//Bloody Wolf
60				8				4			151			53				151			53				1				5			//Bloody Wolf
62				8				4			202			105				202			105				1				5			//Mutant
57				8				4			128			76				128			76				1				5			//Iron Wheel
60				8				4			194			112				194			112				1				5			//Bloody Wolf
62				8				4			202			112				202			112				1				5			//Mutant
59				8				4			71			98				71			98				1				5			//Zaikan
59				8				4			58			100				58			100				1				5			//Zaikan
60				8				4			54			103				54			103				1				5			//Bloody Wolf
59				8				4			130			107				130			107				1				5			//Zaikan
59				8				4			155			94				155			94				1				5			//Zaikan
59				8				4			146			105				146			105				1				5			//Zaikan
59				8				4			133			101				133			101				1				5			//Zaikan
60				8				4			43			102				43			102				1				5			//Bloody Wolf
58				8				4			47			83				47			83				1				5			//Tantallos
58				8				4			59			94				59			94				1				5			//Tantallos
58				8				4			66			65				66			65				1				5			//Tantallos
57				8				4			31			67				31			67				1				5			//Iron Wheel
58				8				4			15			92				15			92				1				5			//Tantallos
58				8				4			16			106				16			106				1				5			//Tantallos
57				8				4			26			93				26			93				1				5			//Iron Wheel
end

2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
061            08             30         007            205            -1             //Beam Knight
061            08             30         005            214            -1             //Beam Knight
058            08             30         008            219            -1             //Tantalos
061            08             30         006            228            -1             //Beam Knight
059            08             30         011            241            -1             //Zaikan
058            08             30         018            238            -1             //Tantalos
062            08             30         146            053            -1             //Mutant
061            08             30         072            167            -1             //Beam Knight
061            08             30         083            176            -1             //Beam Knight
061            08             30         063            173            -1             //Beam Knight
062            08             30         148            043            -1             //Mutant
062            08             30         155            040            -1             //Mutant
062            08             30         134            057            -1             //Mutant
062            08             30         151            034            -1             //Mutant
062            08             30         149            028            -1             //Mutant
062            08             30         141            074            -1             //Mutant
062            08             30         142            068            -1             //Mutant
061            08             30         011            234            -1             //Beam Knight
062            08             30         141            024            -1             //Mutant
062            08             30         137            020            -1             //Mutant
062            08             30         132            015            -1             //Mutant
060            08             30         148            066            -1             //Bloody wolf
062            08             30         134            082            -1             //Mutant
062            08             30         135            089            -1             //Mutant
062            08             30         136            096            -1             //Mutant
062            08             30         148            091            -1             //Mutant
062            08             30         157            089            -1             //Mutant
062            08             30         158            080            -1             //Mutant
062            08             30         154            073            -1             //Mutant
062            08             30         162            101            -1             //Mutant
062            08             30         161            110            -1             //Mutant
062            08             30         171            116            -1             //Mutant
062            08             30         180            112            -1             //Mutant
062            08             30         190            112            -1             //Mutant
062            08             30         197            108            -1             //Mutant
062            08             30         205            105            -1             //Mutant
062            08             30         186            120            -1             //Mutant
060            08             30         181            123            -1             //Bloody wolf
062            08             30         173            129            -1             //Mutant
062            08             30         169            136            -1             //Mutant
062            08             30         162            141            -1             //Mutant
062            08             30         159            148            -1             //Mutant
062            08             30         151            155            -1             //Mutant
062            08             30         152            147            -1             //Mutant
062            08             30         152            133            -1             //Mutant
062            08             30         162            129            -1             //Mutant
062            08             30         152            125            -1             //Mutant
062            08             30         152            116            -1             //Mutant
062            08             30         171            106            -1             //Mutant
062            08             30         151            101            -1             //Mutant
062            08             30         142            100            -1             //Mutant
062            08             30         140            037            -1             //Mutant
062            08             30         133            065            -1             //Mutant
060            08             30         134            072            -1             //Bloody wolf
060            08             30         128            074            -1             //Bloody wolf
057            08             30         123            073            -1             //Iron Wheel
060            08             30         115            086            -1             //Bloody wolf
060            08             30         121            087            -1             //Bloody wolf
060            08             30         128            098            -1             //Bloody wolf
060            08             30         121            099            -1             //Bloody wolf
060            08             30         108            095            -1             //Bloody wolf
060            08             30         104            087            -1             //Bloody wolf
060            08             30         107            080            -1             //Bloody wolf
060            08             30         109            064            -1             //Bloody wolf
060            08             30         108            055            -1             //Bloody wolf
060            08             30         118            042            -1             //Bloody wolf
060            08             30         126            042            -1             //Bloody wolf
060            08             30         133            044            -1             //Bloody wolf
060            08             30         125            026            -1             //Bloody wolf
060            08             30         113            034            -1             //Bloody wolf
060            08             30         105            033            -1             //Bloody wolf
060            08             30         108            043            -1             //Bloody wolf
060            08             30         103            049            -1             //Bloody wolf
060            08             30         097            046            -1             //Bloody wolf
060            08             30         088            041            -1             //Bloody wolf
060            08             30         095            026            -1             //Bloody wolf
060            08             30         096            036            -1             //Bloody wolf
060            08             30         096            056            -1             //Bloody wolf
060            08             30         102            061            -1             //Bloody wolf
060            08             30         104            070            -1             //Bloody wolf
060            08             30         096            078            -1             //Bloody wolf
060            08             30         097            066            -1             //Bloody wolf
057            08             30         081            063            -1             //Iron Wheel
057            08             30         070            057            -1             //Iron Wheel
057            08             30         065            064            -1             //Iron Wheel
057            08             30         064            071            -1             //Iron Wheel
057            08             30         056            075            -1             //Iron Wheel
057            08             30         046            071            -1             //Iron Wheel
057            08             30         038            071            -1             //Iron Wheel
057            08             30         035            062            -1             //Iron Wheel
