//######################################################################################################################
//#MonsterSetBase: Icarus
//######################################################################################################################
//#Section: #0(Npc) #1(Spot) #2(Monster Individual) #3(Invasion) #4(Events) 5#(Kanturu Monster)
//######################################################################################################################

0
//######################################################################################################################
//#Monster    #MapNumber    #Range     #PositionX     #PositionY   #Direction    #Comment
//######################################################################################################################
   77             10          30            34          238         1
end

1
//######################################################################################################################
//#Monster    #MapNumber    #Range      #BeginPosX     #BeginPosY     #EndPosX    #EndPosY      #Direction     #Quantity
//######################################################################################################################
   70	10	3	79	74	79	74	      -1	5	//Queen Rainer
	70	10	3	86	86	86	86	      -1	5	//Queen Rainer
	71	10	3	78	49	78	49	      -1	5	//Mega Crust
	70	10	3	65	83	65	83	      -1	5	//Queen Rainer
	73	10	3	27	67	27	67	      -1	5	//Drakan
	73	10	3	36	71	36	71	      -1	5	//Drakan
	73	10	3	51	72	51	72	      -1	5	//Drakan
	69	10	3	47	36	47	36	      -1	5	//Alquamos
	69	10	3	12	38	12	38	      -1	5	//Alquamos
	69	10	3	27	35	27	35	      -1	5	//Alquamos
	69	10	3	38	35	38	35	      -1	5	//Alquamos
	69	10	3	70	35	70	35	      -1	5	//Alquamos
	75	10	3	48	235	48	235	-1	5	//Giant Drakan
	69	10	3	55	35	55	35	      -1	5	//Alquamos
	71	10	3	94	57	94	57	      -1	5	//Mega Crust
	71	10	3	95	39	95	39	      -1	5	//Mega Crust
	71	10	3	88	33	88	33	      -1	5	//Mega Crust
	71	10	3	88	33	88	33	      -1	5	//Mega Crust
	71	10	3	69	26	69	26	      -1	5	//Mega Crust
	72	10	3	60	180	60	180	-1	5	//Phantom Knight
	72	10	3	60	160	60	160	-1	5	//Phantom Knight
	72	10	3	45	179	45	179	-1	5	//Phantom Knight
	72	10	3	60	192	60	192	-1	5	//Phantom Knight
	75	10	3	27	225	27	225	-1	5	//Giant Drakan
	72	10	3	44	214	44	214	-1	5	//Phantom Knight
	72	10	3	51	201	51	201	-1	5	//Phantom Knight
	74	10	3	43	113	43	113	-1	5	//Alpha Crust
	74	10	3	31	102	31	102	-1	5	//Alpha Crust
	74	10	3	42	93	42	93	      -1	5	//Alpha Crust
	74	10	3	36	128	36	128	-1	5	//Alpha Crust
	72	10	3	43	161	43	161	-1	5	//Phantom Knight
	74	10	3	55	126	55	126	-1	5	//Alpha Crust
	74	10	3	53	123	53	123	-1	5	//Alpha Crust
end

2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
077            10             30         034            238            01             //Phoenix of Darkness
070            10             30         066            068            -1             //Queen Rainier
070            10             30         085            088            -1             //Queen Rainier
070            10             30         080            076            -1             //Queen Rainier
073            10             30         045            072            -1             //Drakan
072            10             30         041            113            -1             //Phantom Knight
072            10             30         042            135            -1             //Phantom Knight
074            10             30         029            104            -1             //Alpha Crust
074            10             30         038            103            -1             //Alpha Crust
074            10             30         035            094            -1             //Alpha Crust
074            10             30         032            087            -1             //Alpha Crust
073            10             30         035            069            -1             //Drakan
073            10             30         026            074            -1             //Drakan
073            10             30         036            079            -1             //Drakan
074            10             30         039            085            -1             //Alpha Crust
072            10             30         051            126            -1             //Phantom Knight
071            10             30         088            070            -1             //Mega Crust
072            10             30         053            138            -1             //Phantom Knight
072            10             30         044            148            -1             //Phantom Knight
072            10             30         033            119            -1             //Phantom Knight
074            10             30         033            111            -1             //Alpha Crust
071            10             30         084            047            -1             //Mega Crust
071            10             30         079            033            -1             //Mega Crust
071            10             30         058            042            -1             //Mega Crust
070            10             30         089            038            -1             //Queen Rainier
071            10             30         070            043            -1             //Mega Crust
071            10             30         064            030            -1             //Mega Crust
071            10             30         053            027            -1             //Mega Crust
070            10             30         091            059            -1             //Queen Rainier
072            10             30         041            157            -1             //Phantom Knight
069            10             30         044            027            -1             //Alquamos
069            10             30         012            027            -1             //Alquamos
069            10             30         013            038            -1             //Alquamos
069            10             30         048            040            -1             //Alquamos
072            10             30         042            122            -1             //Phantom Knight
069            10             30         028            028            -1             //Alquamos
071            10             30         093            047            -1             //Mega Crust
072            10             30         053            150            -1             //Phantom Knight
075            10             30         050            162            -1             //Great Drakan
075            10             30         052            174            -1             //Great Drakan
075            10             30         055            181            -1             //Great Drakan
075            10             30         044            212            -1             //Great Drakan
072            10             30         038            216            -1             //Phantom Knight
075            10             30         047            189            -1             //Great Drakan
075            10             30         059            190            -1             //Great Drakan
075            10             30         048            200            -1             //Great Drakan
075            10             30         057            200            -1             //Great Drakan
075            10             30         027            220            -1             //Great Drakan
069            10             30         066            037            -1             //Alquamos
069            10             30         080            041            -1             //Alquamos
075            10             30         043            238            -1             //Great Drakan
072            10             30         044            221            -1             //Phantom Knight
069            10             30         040            034            -1             //Alquamos
069            10             30         031            037            -1             //Alquamos
069            10             30         018            031            -1             //Alquamos
071            10             30         057            034            -1             //Mega Crust
071            10             30         071            033            -1             //Mega Crust
072            10             30         036            226            -1             //Phantom Knight
