//######################################################################################################################
//#MonsterSetBase: Raklion1
//######################################################################################################################
//#Section: #0(Npc) #1(Spot) #2(Monster Individual) #3(Invasion) #4(Events) 5#(Kanturu Monster)
//######################################################################################################################

0
//######################################################################################################################
//#Monster    #MapNumber    #Range     #PositionX     #PositionY   #Direction    #Comment
//######################################################################################################################
end

1
//######################################################################################################################
//#Monster    #MapNumber    #Range      #BeginPosX     #BeginPosY     #EndPosX    #EndPosY      #Direction     #Quantity
//######################################################################################################################
//564		57	3	70	147	70	147	-1	5	//Bad Coolutin
//563		57	3	75	87	75	87	-1	5	//Bad Ice Giant
//457		57	3	69	24	69	24	-1	5	//Cooler
//564		57	3	60	162	60	162	-1	5	//Bad Coolutin
//563		57	3	32	146	32	146	-1	5	//Bad Ice Giant
//562		57	3	31	64	31	64	-1	5	//Bad Giant Mammoth
//562		57	3	36	47	36	47	-1	5	//Bad Giant Mammoth
//563		57	3	30	115	30	115	-1	5	//Bad Ice Giant
//562		57	3	41	78	41	78	-1	5	//Bad Giant Mammoth
//458		57	3	238	115	238	115	-1	5	//Iron Knight
//458		57	3	216	166	216	166	-1	5	//Iron Knight
//458		57	3	177	66	177	66	-1	5	//Iron Knight
//456		57	3	101	195	101	195	-1	5	//Ice Giant
//458		57	3	181	62	181	62	-1	5	//Iron Knight
//565		57	3	24	222	24	222	-1	5	//Bad Iron Knight
//565		57	3	31	198	31	198	-1	5	//Bad Iron Knight
//565		57	3	45	233	45	233	-1	5	//Bad Iron Knight
//458		57	3	194	122	194	122	-1	5	//Iron Knight
//565		57	3	53	215	53	215	-1	5	//Bad Iron Knight
//457		57	3	135	19	135	19	-1	5	//Cooler
//455		57	3	144	202	144	202	-1	5	//Giant Mammoth
//455		57	3	156	202	156	202	-1	5	//Giant Mammoth
//456		57	3	105	214	105	214	-1	5	//Ice Giant
//455		57	3	147	224	147	224	-1	5	//Giant Mammoth
//455		57	3	167	210	167	210	-1	5	//Giant Mammoth
//454		57	3	186	208	186	208	-1	5	//Ice Walker
end

2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
454            57             30         203            204            -1             //Ice Walker
454            57             30         196            203            -1             //Ice Walker
454            57             30         188            203            -1             //Ice Walker
454            57             30         179            204            -1             //Ice Walker
455            57             30         171            207            -1             //Giant Mammoth
455            57             30         174            214            -1             //Giant Mammoth
455            57             30         164            212            -1             //Giant Mammoth
456            57             30         168            217            -1             //Ice Giant
456            57             30         157            217            -1             //Ice Giant
456            57             30         153            210            -1             //Ice Giant
456            57             30         172            188            -1             //Ice Giant
456            57             30         166            187            -1             //Ice Giant
456            57             30         162            182            -1             //Ice Giant
457            57             30         149            197            -1             //Coolutin
457            57             30         153            194            -1             //Coolutin
457            57             30         143            214            -1             //Coolutin
458            57             30         120            181            -1             //Iron Knight
458            57             30         134            184            -1             //Iron Knight
458            57             30         111            219            -1             //Iron Knight
458            57             30         101            217            -1             //Iron Knight
458            57             30         090            213            -1             //Iron Knight
458            57             30         098            178            -1             //Iron Knight
458            57             30         123            142            -1             //Iron Knight
458            57             30         143            135            -1             //Iron Knight
458            57             30         144            107            -1             //Iron Knight
458            57             30         127            099            -1             //Iron Knight
458            57             30         161            135            -1             //Iron Knight
458            57             30         191            144            -1             //Iron Knight
458            57             30         189            102            -1             //Iron Knight
458            57             30         196            104            -1             //Iron Knight
458            57             30         220            092            -1             //Iron Knight
458            57             30         233            113            -1             //Iron Knight
458            57             30         232            140            -1             //Iron Knight
458            57             30         222            081            -1             //Iron Knight
458            57             30         203            028            -1             //Iron Knight
458            57             30         211            033            -1             //Iron Knight
458            57             30         215            042            -1             //Iron Knight
458            57             30         203            049            -1             //Iron Knight
457            57             30         207            026            -1             //Coolutin
457            57             30         210            039            -1             //Coolutin
457            57             30         225            089            -1             //Coolutin
457            57             30         212            095            -1             //Coolutin
457            57             30         196            120            -1             //Coolutin
457            57             30         185            140            -1             //Coolutin
457            57             30         133            099            -1             //Coolutin
457            57             30         130            135            -1             //Coolutin
456            57             30         192            110            -1             //Ice Giant
456            57             30         197            132            -1             //Ice Giant
456            57             30         202            149            -1             //Ice Giant
456            57             30         152            136            -1             //Ice Giant
